claim_id,area,claim,status,primary_metric,source_artifact,allowed_wording,forbidden_wording,next_action
C11,Architecture,CBAT architecture is justified,blocked,"No baseline gate authorizes architecture",docs/PROJECT_CHARTER.md,CBAT remains reserved late-stage architecture work,CBAT is validated,Do not open
C12,Validation,Grouped condition validation is required,supported,"All headline reports use grouped condition/stressor splits",docs/VALIDATION_PROTOCOL.md,Headline claims require grouped validation,Random row/cell splits are publishable,Preserve discipline
C13,Semi-empirical,Semi-empirical stress baselines beat strongest HGB,not_supported,"C-rate gain vs HGB F4 -0.0979716; vs best stress -0.102553",docs/experiments/2026-05-23_semi_empirical_replicate_gate.md,Semi-empirical comparators are useful but weaker in C-rate views,Semi-empirical models outperform ML baselines,Include domain check
C14,Replicate uncertainty,Replicate diagnostics validate calibrated uncertainty,not_supported,"Spread diagnostics only; no coverage validation",reports/analysis/replicate_uncertainty/uncertainty_claim_readiness.md,Replicate spread contextualizes errors,Replicate intervals are calibrated uncertainty,Diagnostic only
C15,Grouped calibration,Conformal validates capacity uncertainty,not_supported,"C-rate coverage 0.719745 capacity; 0.726115 delta",docs/experiments/2026-05-23_grouped_calibration_replicate_uncertainty.md,Conformal improves mean coverage but C-rate fails,Conformal validates global uncertainty,Keep blocked
C16,Temporal order,Ordered event structure justifies sequence models,not_supported,"Order-aware mean gain -0.000575091 vs aggregate; -0.000564409 vs shuffled",docs/experiments/2026-05-23_temporal_history_value_gate.md,Event order does not justify sequence models,Sequence models are justified,Do not open sequence models
C17,Knee labels,Knee labels are stable enough for prediction,not_supported,"45/64 primary valid conditions replicate-consistent within 2 checkups",docs/experiments/2026-05-23_knee_label_stability_gate.md,Detector knees remain exploratory,Knee prediction is authorized,Keep blocked
C18,Threshold labels,Threshold labels are more stable than detector knees,partially_supported,"80pct consistency 0.897; condition coverage 0.763",docs/experiments/2026-05-23_knee_threshold_label_forensics.md,80pct threshold labels are better candidate targets,Threshold labels alone authorize prediction,Use only with prospective baseline evidence
C19,Threshold warning,Non-neural baselines forecast 80pct threshold event,supported_for_diagnostics,"Verified-only mean Brier: prior 0.178655; proximity 0.168492; HGB W2 0.090116; C-rate HGB 0.153370",docs/experiments/2026-05-23_threshold_warning_censoring_finalization.md,Non-neural baselines forecast 80pct threshold diagnostically beyond proximity under verified-only sensitivity,Calibrated risk or causal warning is authorized,Lock diagnostic claim; optional calibration branch only
C20,Threshold warning calibration,Threshold-warning probabilities are calibrated risk estimates,not_supported,"Primary verified-only Platt fixed ECE 0.074814 and equal-frequency ECE 0.072929; C-rate verified-only ECE 0.167653 fixed / 0.176185 equal-frequency",docs/experiments/2026-05-24_calibration_robustness_correctness_hardening.md,Post-hoc calibration improves mean reliability but policy-specific C-rate ECE remains above guardrail,Threshold-warning probabilities are calibrated risk estimates,Keep calibrated-risk and policy-ranking claims blocked
C21,Stressor robustness,Stressor-axis robust HGB solves C-rate capacity fade without other split regressions,not_supported,"Predeclared R2 F8 w1 C-rate gains: 0.0305899 vs F4 and 0.0319729 vs stress R0; paired p05 positive; max outside-C-rate degradation 0.0528343",docs/experiments/2026-05-24_stressor_robust_pareto_forensics.md,Fixed-weight stressor-balanced HGB gives diagnostic C-rate delta improvement but broad solved-fade wording is not supported,Stressor-robust training solves C-rate fade or justifies architecture,Keep broad solved-fade claim blocked; use C22 for the narrow adaptive diagnostic
C22,Stressor robustness,Conservative train-only adaptive stressor-balanced HGB passes C-rate gain and outside-C-rate guardrail for delta_capacity_Ah and replicates across the deterministic seed interface,supported_for_diagnostics,"Milestone 5.6 conservative guarded replication: 5/5 logical seeds pass; deterministic HGB/no-bagging reuse with effective fit seed 42; min C-rate gains 0.0200436 vs F4 and 0.0214266 vs stress R0; paired p05 0.00749857 vs F4 and 0.00465696 vs stress R0; max outside-C-rate degradation 0.0279117",docs/experiments/2026-05-24_adaptive_stressor_robust_replication.md,Conservative train-only adaptive R2 selection supports a narrow replicated diagnostic C-rate delta robustness result under the unchanged 5pct guardrail,C-rate fade is solved globally or architecture work is justified or policy ranking is ready,Lock narrow diagnostic only; do not broaden without a new gated milestone
C23,Stressor robustness,F8 timestamp-weighted stress features independently explain the adaptive C-rate delta_capacity_Ah robustness gain,diagnostic_only,"Milestone 5.7 incremental F8 under adaptive selection: C-rate delta gain 0.00940756 vs adaptive F4 with paired p05 0.0000606012; max outside-C-rate degradation 0.717391; reweighting-only C-rate gain 0.0106361; raw F8 C-rate gain -0.00138302",docs/experiments/2026-05-27_stressor_robust_attribution_gate.md,F8 adds C-rate delta signal under adaptive selection but independent stress-feature attribution remains diagnostic only because outside-C-rate non-degradation fails,The adaptive result is wholly attributable to F8 stress features or solves C-rate fade,Keep C22 narrow and treat stress-feature attribution as diagnostic-only
C24,Stressor robustness,A stressor-family router can preserve the C-rate reweighting gain without degrading non-C-rate views,supported_for_diagnostics,"Milestone 5.8 router: C-rate delta gain 0.0106361 vs D0 with paired p05 0.00594397; max outside-C-rate degradation 0",docs/experiments/2026-05-27_stressor_robust_arm_selector_gate.md,A targeted router over existing arms uses D2 adaptive R2/F4 for C-rate transfer and D0 R0/F4 elsewhere,This is a global robust-capacity model or C-rate fade is solved or policy ranking is ready,Lock targeted diagnostic routing only
C25,Hierarchical replicate baselines,Hierarchical replicate-aware partial pooling improves C-rate delta_capacity_Ah enough to support a new robustness claim,diagnostic_only,"H4/F4 C-rate delta gain vs H3/F4 0.000100645; paired p05 -0.0000188643; max outside-C-rate degradation 0.00275483; H5 C-rate delta interval coverage 0.312102",docs/experiments/2026-05-27_hierarchical_replicate_baseline_gate.md,Train-only hierarchical partial pooling is an L5 diagnostic comparator but does not pass paired support or interval coverage,Hierarchical partial pooling solves C-rate fade or validates calibrated uncertainty,Keep as negative/diagnostic comparator
C26,Multi-horizon capacity,Non-neural models can forecast capacity over multiple future check-up horizons under grouped validation,partially_supported,"C-rate horizon-2/3 HGB K2 beats persistence and prior-slope for capacity and delta; all-split horizon-3 capacity level HGB K2 0.0935304 vs prior-slope 0.0932329; Milestone 6.2 tested prior-trajectory shape and did not repair this gap",docs/experiments/2026-05-27_multi_horizon_capacity_forecasting_gate.md; docs/experiments/2026-05-27_multi_horizon_error_forensics.md,Prospective HGB K2 supports C-rate and delta-capacity multi-horizon diagnostics for horizons 2 and 3 but overall capacity-level support is partial,Multi-horizon forecasting is solved globally or K3 future exposure is prospective or architecture/policy work is justified,Lock scoped diagnostic wording only
C27,Prior trajectory shape,Prior-trajectory shape features repair the multi-horizon capacity forecast gap,partially_supported,"K5 horizon-3 capacity all-split MAE 0.0981241 vs K2 0.0935304 and prior-slope 0.0932329; K5 improves only 2 of 4 C-rate horizon-2/3 primary rows",docs/experiments/2026-05-27_prior_trajectory_shape_horizon_gate.md,Prior-only trajectory shape is leakage-safe and has isolated diagnostic gains but does not pass the repair gate,Prior-trajectory shape solves multi-horizon forecasting or justifies sequence/neural/CBAT/policy/causal claims,Keep as partial diagnostic evidence
C28,Minimal sequence reopening,Fixed-length event-sequence baselines reopen the sequence/neural model gate,not_supported,"CUDA Torch MLP rows evaluated on PyTorch 2.12.0+cu130; true-sequence mean gain 0.0290673 vs shuffled with 26/48 positive rows, -0.227321 vs aggregate-event HGB with 0/48 positive rows, and -0.190925 vs timestamp-stress HGB with 0/44 positive rows; C-rate delta comparison positive rows 1/6 with mean gain -0.159493",docs/experiments/2026-05-27_minimal_sequence_reopening_gate.md,CUDA-backed fixed-length event-sequence diagnostics do not reopen sequence/neural modeling,Sequence/neural models or CBAT are justified by the current sequence evidence,Keep sequence/neural models blocked; treat the GPU run as a negative H7 reopening check
C29,Policy contrast support,Matched observed policy contrasts have enough support for diagnostic sign-stability analysis,supported_for_diagnostics,"234 triplet-supported contrasts across 4 families; observed capacity-loss sign stability 2943/3213 = 0.916",docs/experiments/2026-05-27_policy_contrast_support_gate.md,Observed matched policy contrasts are available for support and degradation-order diagnostics,"Policy ranking, policy recommendation, causal intervention effects, same-cell counterfactual effects, CBAT, or calibrated risk are authorized",Keep as observed support diagnostics only; any ranking feasibility baseline requires a separate predeclared gate
